                CASE,         ZP,        ISA,     WEIGHT,       MACH,        IAS,        CAS,        TAS, SPEED_CODE,       WIND,       TIME,       FUEL,       DIST,       RATE,       GRDT,         CD,         CG,      FLAPS,      LGEAR,         TQ,         NP,        WFE,         NL,         NH,        SHP,        SFC,        ITT,        PLA,         RC,     ENGOUT,    AIRCOND,      ICING,         SR,         CI,       COST,
                    ,       (FT),     (DG.C),       (KG),           ,       (KT),       (KT),       (KT),           ,       (KT),       (MN),       (KG),       (NM),    (FT/MN),      (DEG),           ,        (%),           ,           ,        (%),        (%),     (KG/H),        (%),        (%),       (HP),  (KG/H/HP),     (DG.C),      (DEG),           ,           ,           ,           ,    (NM/KG),    (KG/MN),    (KG/NM),
188 bandymas        , 20000.0000,     0.0000, 19500.0000,     0.2869,   130.5211,   129.3595,   176.2488,   129.3595,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0764,    25.0000,     0.0000,     0.0000,    38.3571,    82.0000,   422.6197,    85.2637,    89.2188,   864.9456,     0.2443,   826.5711,    59.0748,     5.0000,     0.0000,          E,          0,    0.38155,     6.0000,     4.8535,
188 bandymas        , 20000.0000,     0.0000, 19500.0000,     0.2965,   135.0000,   133.7255,   182.1306,   133.7255,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0705,    25.0000,     0.0000,     0.0000,    38.8822,    82.0000,   426.1797,    85.4200,    89.3570,   876.7886,     0.2430,   828.6224,    59.2233,     5.0000,     0.0000,          E,          0,    0.39216,     6.0000,     4.7040,
188 bandymas        , 20000.0000,     0.0000, 19500.0000,     0.3072,   140.0000,   138.6274,   188.7261,   138.6274,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0648,    25.0000,     0.0000,     0.0000,    39.5654,    82.0000,   430.8388,    85.5766,    89.5229,   892.1926,     0.2414,   831.3549,    59.4293,     5.0000,     0.0000,          E,          0,    0.40323,     6.0000,     4.5522,
188 bandymas        , 20000.0000,     0.0000, 19500.0000,     0.3179,   145.0000,   143.5294,   195.3143,   143.5294,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0601,    25.0000,     0.0000,     0.0000,    40.4594,    82.0000,   437.2545,    85.7963,    89.7403,   912.3521,     0.2396,   835.0687,    59.7309,     5.0000,     0.0000,          E,          0,    0.41238,     6.0000,     4.4215,
188 bandymas        , 20000.0000,     0.0000, 19500.0000,     0.3286,   150.0000,   148.4314,   201.8930,   148.4314,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0561,    25.0000,     0.0000,     0.0000,    41.5860,    82.0000,   445.4706,    86.1248,    90.0125,   937.7568,     0.2375,   839.7827,    60.1364,     5.0000,     0.0000,          E,          0,    0.41954,     6.0000,     4.3098,
188 bandymas        , 20000.0000,     0.0000, 19500.0000,     0.3394,   155.0000,   153.3775,   208.5226,   153.3775,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0527,    25.0000,     0.0000,     0.0000,    42.9369,    82.0000,   455.3932,    86.5330,    90.3315,   968.2200,     0.2352,   845.2700,    60.6384,     5.0000,     0.0000,          E,          0,    0.42496,     6.0000,     4.2134,
188 bandymas        , 20000.0000,     0.0000, 19500.0000,     0.3503,   160.0000,   158.3444,   215.1710,   158.3444,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0499,    25.0000,     0.0000,     0.0000,    44.5468,    82.0000,   467.4868,    87.0407,    90.7121,  1004.5228,     0.2327,   851.7457,    61.2518,     5.0000,     0.0000,          E,          0,    0.42819,     6.0000,     4.1339,
188 bandymas        , 20000.0000,     0.0000, 19500.0000,     0.3611,   165.0000,   163.3112,   221.8088,   163.3112,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0476,    25.0000,     0.0000,     0.0000,    46.4222,    82.0000,   481.8234,    87.7284,    91.1771,  1046.8130,     0.2301,   860.0831,    61.9775,     5.0000,     0.0000,          E,          0,    0.42922,     6.0000,     4.0705,
188 bandymas        , 20000.0000,     0.0000, 19500.0000,     0.3719,   170.0000,   168.2781,   228.4374,   168.2781,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0457,    25.0000,     0.0000,     0.0000,    48.4987,    82.0000,   497.7209,    88.4760,    91.6873,  1093.6384,     0.2276,   869.3547,    62.7822,     5.0000,     0.0000,          E,          0,    0.42883,     6.0000,     4.0186,
