                CASE,         ZP,        ISA,     WEIGHT,       MACH,        IAS,        CAS,        TAS, SPEED_CODE,       WIND,       TIME,       FUEL,       DIST,       RATE,       GRDT,         CD,         CG,      FLAPS,      LGEAR,         TQ,         NP,        WFE,         NL,         NH,        SHP,        SFC,        ITT,        PLA,         RC,     ENGOUT,    AIRCOND,      ICING,         SR,         CI,       COST,
                    ,       (FT),     (DG.C),       (KG),           ,       (KT),       (KT),       (KT),           ,       (KT),       (MN),       (KG),       (NM),    (FT/MN),      (DEG),           ,        (%),           ,           ,        (%),        (%),     (KG/H),        (%),        (%),       (HP),  (KG/H/HP),     (DG.C),      (DEG),           ,           ,           ,           ,    (NM/KG),    (KG/MN),    (KG/NM),
Vidutinis 24        , 18000.0000,     0.0000, 22000.0000,     0.2924,   138.7285,   137.3809,   181.0220,   137.3809,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0759,    25.0000,     0.0000,     0.0000,    44.1272,    82.0000,   478.1752,    86.6693,    90.4252,   995.0612,     0.2403,   845.7120,    60.2633,     5.0000,     0.0000,          E,          0,    0.34720,     6.0000,     5.0486,
Vidutinis 24        , 18000.0000,     0.0000, 22000.0000,     0.3012,   143.0000,   141.5686,   186.4804,   141.5686,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0705,    25.0000,     0.0000,     0.0000,    44.6314,    82.0000,   481.2899,    86.7907,    90.5363,  1006.4317,     0.2391,   847.4153,    60.3870,     5.0000,     0.0000,          E,          0,    0.35629,     6.0000,     4.9060,
Vidutinis 24        , 18000.0000,     0.0000, 22000.0000,     0.3115,   148.0000,   146.4706,   192.8631,   146.4706,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0650,    25.0000,     0.0000,     0.0000,    45.2229,    82.0000,   485.3539,    86.8726,    90.6526,  1019.7681,     0.2380,   849.5294,    60.5263,     5.0000,     0.0000,          E,          0,    0.36646,     6.0000,     4.7528,
Vidutinis 24        , 18000.0000,     0.0000, 22000.0000,     0.3218,   153.0000,   151.3907,   199.2627,   151.3907,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0604,    25.0000,     0.0000,     0.0000,    46.1302,    82.0000,   491.8503,    87.0746,    90.8426,  1040.2283,     0.2364,   852.8969,    60.8034,     5.0000,     0.0000,          E,          0,    0.37463,     6.0000,     4.6230,
Vidutinis 24        , 18000.0000,     0.0000, 22000.0000,     0.3322,   158.0000,   156.3576,   205.7159,   156.3576,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0565,    25.0000,     0.0000,     0.0000,    47.3387,    82.0000,   500.6646,    87.3828,    91.0986,  1067.4792,     0.2345,   857.3642,    61.2080,     5.0000,     0.0000,          E,          0,    0.38093,     6.0000,     4.5128,
Vidutinis 24        , 18000.0000,     0.0000, 22000.0000,     0.3426,   163.0000,   161.3245,   212.1603,   161.3245,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0532,    25.0000,     0.0000,     0.0000,    48.7952,    82.0000,   511.6776,    87.7842,    91.4123,  1100.3234,     0.2325,   862.7760,    61.7148,     5.0000,     0.0000,          E,          0,    0.38532,     6.0000,     4.4212,
Vidutinis 24        , 18000.0000,     0.0000, 22000.0000,     0.3530,   168.0000,   166.2914,   218.5981,   166.2914,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0503,    25.0000,     0.0000,     0.0000,    50.3062,    82.0000,   523.2284,    88.2212,    91.7413,  1134.3977,     0.2306,   868.5396,    62.2342,     5.0000,     0.0000,          E,          0,    0.38912,     6.0000,     4.3381,
Vidutinis 24        , 18000.0000,     0.0000, 22000.0000,     0.3634,   173.0000,   171.2583,   225.0260,   171.2583,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0480,    25.0000,     0.0000,     0.0000,    52.2541,    82.0000,   538.1230,    88.8643,    92.1790,  1178.3217,     0.2283,   876.5598,    62.9368,     5.0000,     0.0000,          E,          0,    0.39029,     6.0000,     4.2762,
Vidutinis 24        , 18000.0000,     0.0000, 22000.0000,     0.3738,   178.0000,   176.2252,   231.4471,   176.2252,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0461,    25.0000,     0.0000,     0.0000,    54.4869,    82.0000,   555.2544,    89.5700,    92.6782,  1228.6716,     0.2260,   885.7775,    63.7509,     5.0000,     0.0000,          E,          0,    0.38982,     6.0000,     4.2285,
Vidutinis 24        , 18000.0000,     0.0000, 22000.0000,     0.3841,   183.0000,   181.1941,   237.8616,   181.1941,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0445,    25.0000,     0.0000,     0.0000,    57.0011,    82.0000,   574.5448,    90.3500,    93.2327,  1285.3667,     0.2235,   896.0811,    64.6720,     5.0000,     0.0000,          E,          0,    0.38789,     6.0000,     4.1934,
Vidutinis 24        , 18000.0000,     0.0000, 22000.0000,     0.3945,   188.0000,   186.1691,   244.2746,   186.1691,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0430,    25.0000,     0.0000,     0.0000,    59.6479,    82.0000,   594.7743,    91.1671,    93.8116,  1345.0497,     0.2211,   906.9323,    65.6320,     5.0000,     0.0000,          E,          0,    0.38548,     6.0000,     4.1643,
Vidutinis 24        , 18000.0000,     0.0000, 22000.0000,     0.4048,   193.0000,   191.1443,   250.6794,   191.1443,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0418,    25.0000,     0.0000,     0.0000,    62.4720,    82.0000,   616.3100,    91.9423,    94.4238,  1408.7339,     0.2187,   918.6434,    66.6490,     5.0000,     0.0000,          E,          0,    0.38240,     6.0000,     4.1425,
Vidutinis 24        , 18000.0000,     0.0000, 22000.0000,     0.4152,   198.0000,   196.1194,   257.0758,   196.1194,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0408,    25.0000,     0.0000,     0.0000,    65.6295,    82.0000,   641.8281,    92.7909,    95.1169,  1479.9346,     0.2168,   931.7030,    67.7884,     5.0000,     0.0000,          E,          0,    0.37717,     6.0000,     4.1385,
Vidutinis 24        , 18000.0000,     0.0000, 22000.0000,     0.4255,   203.0000,   201.0946,   263.4618,   201.0946,   -15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0399,    25.0000,     0.0000,     0.0000,    69.0599,    82.0000,   671.2521,    93.7052,    95.8839,  1557.2902,     0.2155,   946.2436,    69.0452,     5.0000,     0.0000,          E,          0,    0.37015,     6.0000,     4.1505,
