                CASE,         ZP,        ISA,     WEIGHT,       MACH,        IAS,        CAS,        TAS, SPEED_CODE,       WIND,       TIME,       FUEL,       DIST,       RATE,       GRDT,         CD,         CG,      FLAPS,      LGEAR,         TQ,         NP,        WFE,         NL,         NH,        SHP,        SFC,        ITT,        PLA,         RC,     ENGOUT,    AIRCOND,      ICING,         SR,         CI,       COST,
                    ,       (FT),     (DG.C),       (KG),           ,       (KT),       (KT),       (KT),           ,       (KT),       (MN),       (KG),       (NM),    (FT/MN),      (DEG),           ,        (%),           ,           ,        (%),        (%),     (KG/H),        (%),        (%),       (HP),  (KG/H/HP),     (DG.C),      (DEG),           ,           ,           ,           ,    (NM/KG),    (KG/MN),    (KG/NM),
110 bandymas        , 25000.0000,   -10.0000, 21000.0000,     0.3310,   135.8268,   134.5361,   195.0544,   134.5361,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0763,    25.0000,     0.0000,     0.0000,    45.2082,    82.0000,   447.2132,    89.0888,    90.9088,  1019.4385,     0.2193,   858.8025,    65.3895,     5.0000,     0.0000,          E,          0,    0.46970,     6.0000,     3.8429,
110 bandymas        , 25000.0000,   -10.0000, 21000.0000,     0.3409,   140.0000,   138.6274,   200.8836,   138.6274,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0709,    25.0000,     0.0000,     0.0000,    45.6139,    82.0000,   450.2688,    89.1098,    90.9893,  1028.5867,     0.2189,   860.1167,    65.4394,     5.0000,     0.0000,          E,          0,    0.47945,     6.0000,     3.7533,
110 bandymas        , 25000.0000,   -10.0000, 21000.0000,     0.3528,   145.0000,   143.5294,   207.8581,   143.5294,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0654,    25.0000,     0.0000,     0.0000,    46.3508,    82.0000,   455.9926,    89.2325,    91.1757,  1045.2028,     0.2181,   863.5688,    65.6249,     5.0000,     0.0000,          E,          0,    0.48873,     6.0000,     3.6615,
110 bandymas        , 25000.0000,   -10.0000, 21000.0000,     0.3646,   150.0000,   148.4314,   214.8176,   148.4314,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0607,    25.0000,     0.0000,     0.0000,    47.3884,    82.0000,   463.8896,    89.4950,    91.4728,  1068.6008,     0.2171,   869.9103,    65.9591,     5.0000,     0.0000,          E,          0,    0.49541,     6.0000,     3.5850,
110 bandymas        , 25000.0000,   -10.0000, 21000.0000,     0.3765,   155.0000,   153.3775,   221.8279,   153.3775,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0568,    25.0000,     0.0000,     0.0000,    48.5669,    82.0000,   472.9798,    89.8103,    91.8179,  1095.1757,     0.2159,   877.2036,    66.3521,     5.0000,     0.0000,          E,          0,    0.50071,     6.0000,     3.5172,
110 bandymas        , 25000.0000,   -10.0000, 21000.0000,     0.3884,   160.0000,   158.3444,   228.8535,   158.3444,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0534,    25.0000,     0.0000,     0.0000,    49.9896,    82.0000,   484.5172,    90.2272,    92.2573,  1127.2574,     0.2149,   886.3204,    66.8569,     5.0000,     0.0000,          E,          0,    0.50329,     6.0000,     3.4632,
110 bandymas        , 25000.0000,   -10.0000, 21000.0000,     0.4003,   165.0000,   163.3112,   235.8642,   163.3112,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0505,    25.0000,     0.0000,     0.0000,    51.6840,    82.0000,   500.5155,    90.7863,    92.8262,  1165.4666,     0.2147,   897.9376,    67.4856,     5.0000,     0.0000,          E,          0,    0.50121,     6.0000,     3.4302,
110 bandymas        , 25000.0000,   -10.0000, 21000.0000,     0.4122,   170.0000,   168.2781,   242.8608,   168.2781,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0482,    25.0000,     0.0000,     0.0000,    53.8119,    82.0000,   520.8712,    91.6031,    93.5075,  1213.4489,     0.2146,   910.1624,    68.3176,     5.0000,     0.0000,          E,          0,    0.49506,     6.0000,     3.4161,
110 bandymas        , 25000.0000,   -10.0000, 21000.0000,     0.4240,   175.0000,   173.2450,   249.8441,   173.2450,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0462,    25.0000,     0.0000,     0.0000,    56.0814,    82.0000,   542.7540,    92.4750,    94.2427,  1264.6262,     0.2146,   923.4245,    69.4580,     5.0000,     0.0000,          E,          0,    0.48796,     6.0000,     3.4086,
