                CASE,         ZP,        ISA,     WEIGHT,       MACH,        IAS,        CAS,        TAS, SPEED_CODE,       WIND,       TIME,       FUEL,       DIST,       RATE,       GRDT,         CD,         CG,      FLAPS,      LGEAR,         TQ,         NP,        WFE,         NL,         NH,        SHP,        SFC,        ITT,        PLA,         RC,     ENGOUT,    AIRCOND,      ICING,         SR,         CI,       COST,
                    ,       (FT),     (DG.C),       (KG),           ,       (KT),       (KT),       (KT),           ,       (KT),       (MN),       (KG),       (NM),    (FT/MN),      (DEG),           ,        (%),           ,           ,        (%),        (%),     (KG/H),        (%),        (%),       (HP),  (KG/H/HP),     (DG.C),      (DEG),           ,           ,           ,           ,    (NM/KG),    (KG/MN),    (KG/NM),
Trumpas 15          , 16000.0000,    -5.0000, 22000.0000,     0.2807,   138.6452,   137.2992,   173.4460,   137.2992,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0755,    25.0000,     0.0000,     0.0000,    42.0741,    82.0000,   472.2016,    84.4363,    88.8459,   948.7632,     0.2489,   819.8371,    57.7018,     5.0000,     0.0000,          E,          0,    0.39908,     6.0000,     4.4161,
Trumpas 15          , 16000.0000,    -5.0000, 22000.0000,     0.2893,   143.0000,   141.5686,   178.7900,   141.5686,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0700,    25.0000,     0.0000,     0.0000,    42.5260,    82.0000,   475.5996,    84.5702,    88.9604,   958.9540,     0.2480,   821.6210,    57.7691,     5.0000,     0.0000,          E,          0,    0.40746,     6.0000,     4.3119,
Trumpas 15          , 16000.0000,    -5.0000, 22000.0000,     0.2993,   148.0000,   146.4706,   184.9210,   146.4706,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0645,    25.0000,     0.0000,     0.0000,    43.2896,    82.0000,   480.8842,    84.7666,    89.1218,   976.1727,     0.2463,   824.1310,    57.9131,     5.0000,     0.0000,          E,          0,    0.41574,     6.0000,     4.2061,
Trumpas 15          , 16000.0000,    -5.0000, 22000.0000,     0.3092,   153.0000,   151.3907,   191.0684,   151.3907,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0600,    25.0000,     0.0000,     0.0000,    44.1460,    82.0000,   486.8394,    84.9351,    89.2993,   995.4843,     0.2445,   827.1685,    58.1175,     5.0000,     0.0000,          E,          0,    0.42328,     6.0000,     4.1095,
Trumpas 15          , 16000.0000,    -5.0000, 22000.0000,     0.3192,   158.0000,   156.3576,   197.2689,   156.3576,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0561,    25.0000,     0.0000,     0.0000,    45.2493,    82.0000,   494.7844,    85.1908,    89.5386,  1020.3636,     0.2425,   831.2551,    58.4602,     5.0000,     0.0000,          E,          0,    0.42901,     6.0000,     4.0269,
Trumpas 15          , 16000.0000,    -5.0000, 22000.0000,     0.3293,   163.0000,   161.3245,   203.4621,   161.3245,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0528,    25.0000,     0.0000,     0.0000,    46.5690,    82.0000,   504.4066,    85.5077,    89.8191,  1050.1223,     0.2402,   836.0182,    58.8853,     5.0000,     0.0000,          E,          0,    0.43311,     6.0000,     3.9568,
Trumpas 15          , 16000.0000,    -5.0000, 22000.0000,     0.3393,   168.0000,   166.2914,   209.6494,   166.2914,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0500,    25.0000,     0.0000,     0.0000,    48.1765,    82.0000,   516.2527,    85.9056,    90.1539,  1086.3717,     0.2376,   841.6738,    59.4207,     5.0000,     0.0000,          E,          0,    0.43515,     6.0000,     3.9005,
Trumpas 15          , 16000.0000,    -5.0000, 22000.0000,     0.3493,   173.0000,   171.2583,   215.8295,   171.2583,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0478,    25.0000,     0.0000,     0.0000,    50.1495,    82.0000,   530.8930,    86.4254,    90.5553,  1130.8643,     0.2347,   848.4884,    60.0964,     5.0000,     0.0000,          E,          0,    0.43479,     6.0000,     3.8595,
Trumpas 15          , 16000.0000,    -5.0000, 22000.0000,     0.3593,   178.0000,   176.2252,   222.0032,   176.2252,    15.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0000,     0.0458,    25.0000,     0.0000,     0.0000,    52.2037,    82.0000,   545.9308,    87.0298,    90.9667,  1177.1858,     0.2319,   855.7597,    60.7923,     5.0000,     0.0000,          E,          0,    0.43413,     6.0000,     3.8224,
